"Velocity_ft_p_s:0","Velocity_ft_p_s:1","Velocity_ft_p_s:2","Bed_Elev_ft","Water_Depth_ft","Water_Elev_ft","ManningN","h_99_percent","h_90_percent","h_50_percent","h_10_percent","h_1_percent","Points:0","Points:1","Points:2"
0.0073691,0.0011678,0,957.61,0.094725,948.6,0.06,0.06117,0.091717,0.095633,0.098391,0.1,4.057e+05,1.8053e+06,957.61
0.00063697,8.1669e-05,0,960.29,0.094357,956.57,0.06,0.042457,0.090241,0.095124,0.098102,0.1,4.0578e+05,1.8054e+06,960.29
0.00063697,8.1669e-05,0,959.32,0.094357,955.51,0.06,0.042457,0.090241,0.095124,0.098102,0.1,4.0582e+05,1.8054e+06,959.32
4.8744e-05,6.2497e-06,0,956.9,0.080407,949.42,0.06,0.035921,0.057952,0.078493,0.092259,0.1,4.0583e+05,1.8053e+06,956.9
4.868e-06,-3.1403e-05,0,956.86,0.080118,949.31,0.06,0.035786,0.057283,0.078149,0.092137,0.1,4.0583e+05,1.8053e+06,956.86
-3.718e-05,-0.0021675,0,954.95,0.080615,944.2,0.06,0.040031,0.058436,0.07883,0.092391,0.1,4.0584e+05,1.8053e+06,954.95
-2.9016e-05,-0.0016916,0,955.37,0.080295,945.34,0.06,0.038942,0.057696,0.078428,0.092246,0.1,4.0584e+05,1.8053e+06,955.37
-0.019282,0.014449,0,956.75,0.098124,955.07,0.06,0.083291,0.096091,0.098124,0.099315,0.1,4.0598e+05,1.8054e+06,956.75
-0.019282,0.014449,0,957.35,0.098124,955.34,0.06,0.083291,0.096091,0.098124,0.099315,0.1,4.0593e+05,1.8054e+06,957.35
-0.0072928,0.0054646,0,955.89,0.095448,949.12,0.06,0.087861,0.093959,0.096164,0.098477,0.1,4.0593e+05,1.8053e+06,955.89
-3.305e-05,-0.00022285,0,955.87,0.095351,948.94,0.06,0.088027,0.093881,0.096093,0.098447,0.1,4.0593e+05,1.8053e+06,955.87
-0.0084031,-0.0017852,0,956.14,0.098914,954.96,0.06,0.090433,0.097714,0.098904,0.099593,0.1,4.0603e+05,1.8054e+06,956.14
-0.0084031,-0.0017852,0,956.76,0.098914,955.3,0.06,0.090433,0.097714,0.098904,0.099593,0.1,4.0598e+05,1.8054e+06,956.76
-0.0084031,-0.0017852,0,954.61,0.098914,952.07,0.06,0.090433,0.097714,0.098904,0.099593,0.1,4.0608e+05,1.8053e+06,954.61
